movieName,Year,Director,genre,Rating,Duration,Plot
The Godfather,1972,Francis Ford Coppola,"Crime, Drama            ",9.2,175 min,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
Tôkyô monogatari,1953,Yasujirô Ozu,Drama            ,8.1,136 min,"An old couple visit their children and grandchildren in the city, but receive little attention."
Shichinin no samurai,1954,Akira Kurosawa,"Action, Drama            ",8.6,207 min,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
The Godfather Part II,1974,Francis Ford Coppola,"Crime, Drama            ",9,202 min,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
Casablanca,1942,Michael Curtiz,"Drama, Romance, War            ",8.5,102 min,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
Citizen Kane,1941,Orson Welles,"Drama, Mystery            ",8.3,119 min,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
Lawrence of Arabia,1962,David Lean,"Adventure, Biography, Drama            ",8.3,218 min,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
12 Angry Men,1957,Sidney Lumet,"Crime, Drama            ",9,96 min,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
Sunset Blvd.,1950,Billy Wilder,"Drama, Film-Noir            ",8.4,110 min,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Shoah,1985,Claude Lanzmann,"Documentary, History, War            ",8.7,566 min,Claude Lanzmann's epic documentary recounts the story of the Holocaust through interviews with witnesses - perpetrators as well as survivors.
Ordet,1955,Carl Theodor Dreyer,Drama            ,8.3,126 min,"Follows the lives of the Borgen family, as they deal with inner conflict, as well as religious conflict with each other, and the rest of the town."
All About Eve,1950,Joseph L. Mankiewicz,Drama            ,8.2,138 min,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
Dekalog,1989–1990,Artur Barcis,Drama            ,8.9,572 min,"Ten television drama films, each one based on one of the Ten Commandments."
Pulp Fiction,1994,Quentin Tarantino,"Crime, Drama            ",8.9,154 min,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
City Lights,1931,Charles Chaplin,"Comedy, Drama, Romance            ",8.5,87 min,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
Ugetsu monogatari,1953,Kenji Mizoguchi,"Drama, Fantasy, War            ",8.2,96 min,"A tale of ambition, family, love, and war set in the midst of the Japanese Civil Wars of the sixteenth century."
Singin' in the Rain,1952,Stanley Donen,"Comedy, Musical, Romance            ",8.3,103 min,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
Schindler's List,1993,Steven Spielberg,"Biography, Drama, History            ",9,195 min,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
Les quatre cents coups,1959,François Truffaut,"Crime, Drama            ",8.1,99 min,"A young boy, left without attention, delves into a life of petty crime."
Goodfellas,1990,Martin Scorsese,"Biography, Crime, Drama            ",8.7,145 min,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
Les enfants du paradis,1945,Marcel Carné,"Drama, Romance            ",8.3,189 min,The theatrical life of a beautiful courtesan in 1830s Paris and the four men who love her.
Modern Times,1936,Charles Chaplin,"Comedy, Drama, Romance            ",8.5,87 min,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
Psycho,1960,Alfred Hitchcock,"Horror, Mystery, Thriller            ",8.5,109 min,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
